ASV	Domain	Phylum	Class	Order	Family	Genus	Species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
b79da6351eafa397e464a8aaa687a970	d__Bacteria	p__Bacillota.36	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Fenollaria	NA	3.0825392044022504	2.3079734286617666	0.5787352770266343	3.9879605067785597	6.66437543244069e-5	7.900987318238018e-4
06f825b512d903b9230e1a55d87359ee	d__Bacteria	p__Bacillota.37	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	NA	34.1785062210176	2.324427855924924	0.7207655639537308	3.2249429941885226	0.0012599775483850505	0.009534723717211695
454ff5fa8a3c6b293cea935aeb9cfb8e	d__Bacteria	p__Bacillota.38	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	NA	3.2908254980903116	2.34539146987929	0.5546497786122101	4.2285989471549	2.35151094271656e-5	3.484808577609124e-4
9484afed9f64641667938e294c07fe7c	d__Bacteria	p__Bacillota.39	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	NA	NA	25.622954650180137	2.3466983877531398	0.6891527747972097	3.4051932656640322	6.611724350855403e-4	0.005554889671151744
73cd1c10175eb846badd2f34bd86dd08	d__Bacteria	p__Bacillota.40	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Intestinimonas	NA	3.7685261381010426	2.3467159853408304	0.5601832782661607	4.189193209415708	2.7994797409660993e-5	4.0365471400146324e-4
32cc17e12d08b4011ab0ec8c393fd12c	d__Bacteria	p__Bacillota.41	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-002	NA	40.233225099558545	2.3645572362917195	0.7499490825711873	3.1529570356761774	0.001616255931983745	0.011731599179773169
f6cba9b8a57bb49f57a00f18bf1e64b0	d__Bacteria	p__Pseudomonadota.4	c__Gammaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	NA	3.3408497055988136	2.370573166825751	0.5779850924798636	4.101443441481735	4.1058086967644206e-5	5.476122349309546e-4
e9f900358bb9297e10b9fbb1321b1e6e	d__Bacteria	p__Bacillota.42	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Thomasclavelia	NA	9.349894708344829	2.3754455701786283	0.6314570271182249	3.7618483414769	1.6866231196549115e-4	0.001713930351115991
174b92af2be8de6574c205ce68f97bb7	d__Bacteria	p__Bacteroidota.15	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	NA	3.3551849235253317	2.377840071892528	0.5835137861441134	4.075036662981704	4.60070981964238e-5	5.914406478986047e-4
fc00ed40b15cd5fa384b672502a3adc3	d__Bacteria	p__Bacillota.43	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	NA	26.73884764116411	2.406556114383468	0.67535030059354	3.563419031972647	3.6605563943594013e-4	0.003426152344545159
a78f5a615f91a760ffc238c7c4ce3056	d__Bacteria	p__Bacillota.44	c__Clostridia	o__Peptococcales	f__Peptococcaceae	g__Peptococcus	NA	3.4877523734192715	2.443294318122885	0.5479671756799885	4.458833350904512	8.24069587185894e-6	1.465470415878915e-4
7b28c20e72c6c95b3e604f0849245770	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiia	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	NA	16.609525261920485	2.447867660899042	0.6892566712694974	3.551460236707572	3.830998742896031e-4	0.003554500572756578
9a67e1965fe9ce8fed8d8fbe40c3ec36	d__Bacteria	p__Actinomycetota.2	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	NA	3.5287061725278344	2.4630608949410595	0.5702529333706782	4.319242832092563	1.565654343622367e-5	2.5311411888561606e-4
72ec78ecd4c30c1ddc64900630f35387	d__Bacteria	p__Bacillota.45	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	NA	3.5601668775275686	2.4778661573482776	0.5568067705652883	4.450136543477494	8.581571099383573e-6	1.501071534924963e-4
96cf4779be686036f92ee15e58b72d52	d__Bacteria	p__Bacillota.46	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	NA	5.559879923131277	2.482697549722095	0.6272727913341153	3.9579232257815122	7.560424869802373e-5	8.768449278346882e-4
d0833ce681acbdd482a03911d447756d	d__Bacteria	p__Bacillota.47	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-003	NA	5.931682351216527	2.486084967203184	0.6029349801192139	4.123305247129017	3.73474243263022e-5	5.044266045084107e-4
da1d26d90a7443d34675778207d2c227	d__Bacteria	p__Bacillota.48	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Colidextribacter	NA	4.60668460219218	2.4902634986642416	0.5781694561387616	4.307151601011892	1.653702748150537e-5	2.594854165112681e-4
1569f7ae988e26c905ab8fab427c8a0d	d__Bacteria	p__Bacillota.49	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	NA	104.13790013866577	2.5131705696556486	0.8246027791846878	3.0477347798178704	0.002305733308392724	0.015570996456044534
d9eea834805833ac21a86fdabedd8556	d__Bacteria	p__Bacillota.50	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	NA	46.38292946039552	2.560315400113092	0.7215691755976326	3.5482604949033973	3.877844937510085e-4	0.0035669487485545355
